jd1,jd2,jd3,jd4,jd5,jd6,ee1,ee2,ee3,ee4,ee5,ee6,dp1,dp2,dp3,dp4,dp5,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,ss1,ss2,ss3,ss4,ss5,ti1,ti2,ti3,ti4,ti5,ti6,gender,age,tenure,dept
4,3,,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,4,4,1,4,4,2,4,3,3,3,3,3,,2,2,3,4,3,2,32,2,4
4,3,3,3,2,3,3,3,3,4,2,,4,4,2,3,3,4,5,5,2,5,4,1,5,4,5,5,5,4,2,2,2,1,4,2,1,55,28,4
5,5,2,4,2,5,4,4,4,4,5,4,3,4,3,3,3,5,5,5,1,5,5,1,5,5,5,4,4,4,3,4,4,3,3,3,2,44,6,3
4,5,1,5,2,5,5,5,5,5,5,5,4,2,4,4,5,2,2,2,4,2,1,5,1,1,1,1,1,1,5,5,5,5,1,5,1,53,27,3
2,2,4,1,4,2,2,2,2,2,2,3,3,4,3,3,3,4,4,5,1,4,5,,5,4,4,3,,4,1,1,1,1,5,1,1,54,28,2
3,4,2,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,4,4,4,3,,5,5,5,5,4,4,4,3,2,4,1,21,19,2
3,4,2,4,2,4,5,5,5,5,5,5,4,2,4,5,5,3,4,3,3,3,3,3,3,4,4,4,4,3,5,5,5,5,1,5,1,24,13,5
5,4,2,4,2,5,3,2,2,2,2,2,3,3,4,4,3,2,2,2,,1,2,4,2,3,4,4,3,4,3,3,3,3,3,3,1,52,10,5
3,3,3,3,2,3,3,4,,4,4,4,3,2,3,3,3,1,2,2,4,3,2,4,,4,4,4,4,4,5,5,5,5,1,4,1,27,17,1
3,3,3,3,3,3,2,2,2,2,2,1,1,5,1,1,1,5,5,5,2,4,5,1,5,2,3,3,3,3,2,3,3,4,3,3,1,47,8,1
2,3,4,2,4,2,3,3,3,3,3,2,4,2,4,3,4,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,1,39,28,2
2,2,3,1,4,2,4,4,4,4,3,4,2,4,2,2,1,5,5,5,1,5,5,,5,3,3,3,3,3,2,2,3,2,4,2,2,39,16,2
3,4,2,5,1,4,4,3,3,3,4,3,4,3,3,,4,4,4,4,2,4,5,3,4,3,4,3,4,3,4,4,4,4,,4,1,33,17,5
4,4,2,3,2,4,4,4,5,4,5,4,2,4,3,3,2,3,3,,3,3,3,3,3,4,4,4,4,4,3,3,2,3,3,3,1,22,28,2
3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,4,4,5,5,2,4,4,2,4,4,4,3,3,4,3,2,3,2,3,2,2,23,21,1
4,5,1,5,2,4,4,4,4,4,4,4,4,2,4,4,4,3,3,3,3,3,3,3,3,2,3,2,2,2,4,5,5,,2,5,2,52,15,5
2,2,3,3,3,3,2,3,2,2,2,2,3,3,2,3,3,4,5,5,2,5,5,2,4,4,5,5,4,4,2,1,1,1,5,1,2,43,22,3
4,3,3,4,3,4,3,2,3,,3,3,3,3,3,3,2,4,4,4,2,4,4,3,4,3,2,4,3,3,3,3,2,2,3,2,1,25,13,3
5,4,2,4,2,5,4,4,4,4,5,5,3,2,4,3,4,4,4,4,2,4,4,2,4,5,4,4,4,5,3,3,4,,2,3,1,23,4,2
2,2,4,3,3,3,2,2,1,2,2,2,1,5,1,1,1,4,3,3,2,4,3,2,4,3,3,3,3,2,4,3,3,3,3,4,1,24,29,5
5,5,1,5,1,5,5,4,5,4,4,5,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,3,4,3,4,3,3,2,3,1,24,18,3
2,2,5,2,4,1,1,2,2,1,2,1,3,2,3,3,3,4,3,3,3,4,4,3,3,3,3,4,4,4,2,2,,2,4,3,2,42,2,1
1,1,5,1,5,1,2,3,3,3,2,2,2,4,3,2,3,5,4,4,1,4,5,1,5,5,,5,5,5,2,3,2,2,3,2,1,50,13,2
3,4,2,4,3,4,1,2,2,2,1,2,2,4,2,1,2,4,4,4,2,4,4,2,3,2,2,3,2,2,3,2,3,2,3,2,1,30,6,5
5,5,1,5,1,5,5,5,5,5,5,5,5,1,5,5,5,4,4,4,2,4,4,2,4,3,3,3,3,3,4,4,4,5,2,5,2,35,25,4
3,4,3,3,3,4,4,4,4,4,3,5,3,2,3,3,3,4,4,3,2,4,4,2,4,3,3,3,3,4,3,3,2,4,3,,2,42,4,1
4,4,2,5,2,,2,2,2,3,2,2,3,3,2,3,3,5,,4,1,5,5,2,4,4,4,4,4,4,3,3,2,3,3,3,1,46,24,2
3,3,3,3,3,3,5,4,4,5,5,5,3,3,3,3,2,1,3,2,4,2,2,4,1,2,2,2,3,3,4,4,4,4,2,4,1,33,14,4
1,1,5,1,,1,2,2,2,2,2,2,3,3,3,2,3,3,4,4,3,3,3,2,3,4,4,4,4,4,1,2,3,2,4,2,1,35,20,3
3,2,3,3,3,3,2,2,3,3,2,2,1,5,1,2,1,4,4,4,2,5,4,2,4,3,3,4,3,3,2,2,1,2,4,2,1,22,13,3
5,5,1,5,1,5,5,5,5,5,5,5,5,1,4,5,5,4,3,4,2,3,3,2,4,4,3,3,4,2,4,4,4,4,2,4,2,31,1,5
4,3,2,3,2,3,1,2,2,1,1,1,2,3,2,3,3,5,4,5,1,5,5,1,5,5,5,5,5,5,2,1,1,1,4,1,2,49,23,5
3,2,4,3,3,3,1,1,1,2,2,2,3,3,3,3,3,3,3,3,4,3,3,2,4,4,5,5,4,4,1,1,1,1,4,1,1,38,19,1
2,2,4,2,5,1,3,3,3,3,2,3,2,3,3,2,3,3,3,3,5,3,3,3,3,2,3,3,3,3,2,2,2,2,4,2,1,28,14,4
3,3,3,4,3,3,3,3,3,4,4,,3,3,3,3,2,2,3,2,4,3,3,4,3,4,5,3,4,5,3,3,3,2,3,3,2,49,8,4
3,3,4,3,3,4,3,3,3,3,4,4,3,3,,3,3,5,5,5,1,5,5,1,5,2,2,3,3,3,3,2,3,3,3,3,1,27,26,2
4,3,2,5,3,3,5,4,4,4,5,4,5,2,4,4,4,5,4,4,1,5,4,1,5,3,4,4,4,4,4,3,3,4,2,4,2,30,25,4
3,2,4,2,4,2,3,3,4,3,4,3,,4,2,2,2,2,3,3,4,3,2,3,3,4,4,4,4,4,4,4,3,3,3,4,1,23,18,5
4,5,1,4,1,5,4,4,4,4,5,4,4,2,4,4,4,4,4,4,2,4,4,2,5,4,4,4,4,3,4,3,4,3,3,3,2,23,7,4
3,3,2,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,2,3,4,3,2,3,2,3,2,1,1,2,2,4,2,2,25,21,5
3,3,2,3,3,4,3,3,3,3,,3,2,4,3,2,3,1,1,2,4,1,1,5,1,2,3,4,2,2,4,4,4,3,2,3,1,23,18,4
4,5,2,3,2,3,4,4,5,4,5,4,4,2,4,3,3,2,1,1,5,1,2,5,2,3,3,3,2,2,4,4,4,4,2,4,2,21,8,3
4,5,1,4,1,5,3,4,3,3,3,4,4,3,4,4,4,1,2,2,4,2,2,4,2,4,3,3,4,2,3,3,3,3,3,4,2,53,21,2
,3,3,4,2,4,2,2,2,2,3,2,3,3,3,3,3,4,4,4,1,4,5,2,5,2,3,4,3,3,2,2,2,3,3,3,2,36,5,5
4,4,2,4,2,4,1,2,1,1,1,1,,4,2,3,2,3,2,2,4,3,3,4,2,3,,4,4,4,2,1,1,1,4,1,1,27,7,2
2,1,5,1,5,2,2,3,3,3,3,3,1,4,2,1,1,1,1,1,5,2,2,5,2,3,3,3,3,3,3,2,3,2,3,3,2,28,30,3
4,4,,,1,4,4,3,4,4,4,3,2,3,2,2,2,2,2,3,4,3,2,4,1,4,3,3,3,3,3,2,3,3,3,2,2,39,2,3
3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,4,3,4,3,4,3,4,3,1,4,4,4,4,4,,3,2,3,3,3,3,1,20,15,3
4,4,2,4,3,3,2,2,3,3,2,2,1,5,1,1,1,4,4,3,2,4,4,2,4,5,5,5,5,5,3,2,3,3,3,3,1,44,16,3
2,2,5,2,4,2,3,3,3,3,3,3,2,4,2,2,2,4,4,3,2,4,4,2,5,3,3,2,3,3,2,2,2,3,4,2,2,52,15,4
3,3,4,2,3,2,2,2,2,1,2,1,3,4,2,2,3,2,1,2,4,2,2,4,2,2,2,,3,2,2,2,2,2,4,2,2,39,5,3
2,3,3,2,4,2,2,,3,3,3,3,3,3,3,3,3,4,4,4,2,4,4,2,5,4,3,4,3,4,2,2,2,2,4,2,2,49,7,3
3,3,3,2,2,3,3,3,4,3,3,4,3,4,,3,3,3,4,4,2,5,4,2,3,3,3,4,3,3,4,4,4,4,2,3,1,27,18,5
2,2,4,2,4,2,2,2,1,1,2,2,2,4,2,2,2,4,5,4,1,5,,1,4,4,5,4,4,4,3,3,4,3,3,2,1,55,19,4
4,4,2,4,2,4,3,3,3,3,3,3,1,5,1,1,1,3,3,3,2,3,3,3,3,2,1,1,1,2,3,3,4,4,3,4,2,30,14,2
2,1,5,1,5,1,2,2,3,2,2,2,2,5,2,1,2,4,4,3,2,3,3,2,4,3,3,3,3,3,1,1,1,1,5,1,1,25,23,3
2,3,4,1,4,2,3,2,3,3,3,3,4,3,3,5,4,5,5,5,1,5,5,1,5,2,1,2,2,1,3,3,3,3,3,3,2,37,22,1
3,3,3,3,2,3,4,,4,5,5,5,4,2,4,3,4,4,3,4,2,4,4,2,4,3,3,3,2,3,,4,4,5,2,5,2,35,5,2
4,4,3,4,2,4,5,4,5,4,4,4,2,,2,,2,3,3,4,3,4,4,2,4,2,2,2,2,2,2,2,2,2,4,2,2,20,28,5
4,4,,4,2,,3,4,3,4,4,3,3,2,4,3,4,4,3,4,2,3,4,3,3,3,2,3,3,3,1,2,1,1,5,2,1,29,23,5
5,5,1,5,1,5,4,,3,4,4,4,5,2,5,5,5,3,4,4,3,3,3,2,4,4,5,4,5,5,3,4,4,4,2,4,1,33,7,2
3,2,3,2,3,,3,3,2,3,2,,1,5,1,2,1,2,2,2,4,1,2,4,2,3,2,2,3,3,3,,1,2,4,3,2,54,13,1
4,4,3,4,2,4,3,4,3,3,3,3,3,3,3,2,3,3,2,3,,3,2,4,2,4,4,5,5,4,3,3,2,3,4,3,1,49,27,2
3,3,3,3,3,3,3,4,4,3,4,4,2,3,3,2,2,5,5,5,,5,4,2,5,3,4,3,3,3,3,4,,3,3,4,2,24,29,4
2,2,4,1,4,1,2,2,2,1,2,3,4,3,4,3,3,4,5,4,2,4,5,2,5,4,4,4,4,4,1,1,1,1,4,1,2,46,8,3
4,4,2,4,2,3,3,3,3,3,3,3,5,1,5,4,4,3,3,2,3,3,2,3,3,2,2,2,2,3,2,2,2,3,4,2,1,34,9,1
4,4,3,4,2,5,5,5,5,5,5,4,3,4,3,2,2,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,2,4,1,44,29,5
3,2,4,3,4,3,2,2,3,2,3,2,4,2,4,4,4,3,3,3,3,3,3,2,4,2,1,1,2,1,4,,3,3,3,3,2,26,27,2
3,5,,4,3,4,5,5,5,5,5,5,4,3,4,4,4,5,5,5,1,5,5,1,5,4,4,4,4,5,4,4,4,4,2,4,1,46,5,3
2,1,5,1,5,1,4,4,4,4,4,5,3,4,3,2,2,3,3,4,3,3,4,2,3,3,3,3,3,4,3,2,2,2,4,2,1,23,9,3
2,2,4,2,3,3,1,1,1,1,1,1,2,5,2,2,2,1,1,1,5,1,1,5,1,4,4,3,4,4,2,2,2,2,4,2,2,30,6,3
1,1,4,1,5,1,1,1,1,1,1,1,1,,2,1,1,5,5,5,1,5,5,1,5,2,3,3,3,3,2,2,1,2,5,1,1,37,22,3
5,5,1,5,1,5,5,4,4,4,4,4,4,2,4,5,5,4,4,4,2,4,4,2,4,3,3,4,3,3,3,2,3,3,4,3,1,22,25,5
2,2,3,3,3,2,1,1,1,1,1,1,1,5,1,1,1,4,5,4,1,5,5,1,5,4,4,4,4,4,1,1,1,1,5,1,1,20,28,2
3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,2,3,3,3,3,2,5,4,5,5,4,3,3,4,3,3,3,2,46,24,1
3,3,3,2,3,2,5,5,5,5,4,5,4,2,5,4,4,4,4,4,2,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,2,41,14,5
5,5,1,5,1,5,4,5,4,5,4,4,4,2,3,3,3,3,2,3,4,2,2,4,2,1,1,1,2,1,4,3,3,3,3,4,2,44,9,2
4,4,2,4,2,,3,3,4,3,4,4,3,3,3,3,3,3,3,3,2,3,3,2,4,3,3,3,3,3,3,3,3,3,3,4,2,42,10,3
1,2,4,2,5,1,4,4,4,3,3,4,3,3,3,3,2,3,2,2,4,3,3,4,3,1,1,2,2,1,3,3,3,3,3,3,1,52,12,5
3,2,3,3,3,3,4,4,4,4,4,4,3,3,2,2,2,2,2,3,4,2,,3,3,3,2,2,2,2,2,1,3,3,4,2,1,28,27,2
4,3,3,4,3,3,4,4,4,4,4,3,5,1,5,5,5,2,2,1,5,2,2,5,2,2,2,2,2,2,5,4,4,4,3,3,1,54,11,5
5,5,1,5,1,5,4,4,4,5,5,4,3,3,3,3,3,2,2,2,4,2,2,4,2,2,3,3,2,2,4,4,4,5,1,4,1,46,4,3
4,3,2,4,2,3,3,2,2,3,3,2,2,4,2,2,1,3,3,3,3,2,3,4,3,4,3,3,2,3,1,1,1,1,5,1,1,51,23,4
2,2,4,2,,1,3,3,2,3,3,3,4,,3,3,4,3,3,3,3,3,3,,3,4,4,4,,4,2,2,3,2,4,3,2,54,17,2
5,5,1,5,1,5,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,5,1,1,2,1,4,1,1,41,6,5
3,3,2,4,2,4,4,4,4,4,4,4,4,2,4,4,5,3,3,3,3,3,4,3,3,4,4,4,4,5,5,,4,5,2,5,2,33,3,3
5,5,1,5,2,5,4,5,4,5,5,4,5,1,,4,4,1,,1,5,1,2,5,2,2,3,2,2,3,3,4,3,3,1,4,2,41,18,3
5,5,1,5,1,5,5,5,5,5,5,5,4,3,4,4,3,3,3,2,3,3,2,4,3,1,1,1,1,1,4,,3,4,2,4,1,20,3,2
3,1,3,3,4,2,4,4,4,4,4,4,4,2,,4,4,4,3,3,2,4,3,3,4,1,1,2,3,3,4,4,3,3,3,4,1,44,14,3
3,2,4,2,4,2,2,2,3,2,3,2,2,5,2,1,1,3,3,2,3,3,3,3,3,5,5,4,4,4,3,3,2,2,3,2,1,43,27,3
1,2,5,1,4,2,3,3,2,3,2,3,2,4,2,3,3,5,5,5,2,4,4,1,4,3,3,,4,3,2,3,2,2,4,3,1,40,22,4
2,2,4,2,3,2,4,4,4,4,4,4,4,2,4,3,3,5,5,5,1,5,5,1,5,5,5,5,5,5,5,4,5,5,2,5,2,46,13,3
4,3,2,4,3,3,2,,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,4,4,4,5,4,4,2,2,3,2,3,2,1,33,18,4
3,3,3,3,3,3,3,3,4,4,3,4,2,4,2,2,2,5,5,5,1,5,5,1,5,4,3,3,3,4,3,2,2,2,4,2,2,32,22,3
1,,5,1,5,1,3,2,2,2,2,2,3,4,2,2,3,5,5,4,2,5,5,2,4,4,5,4,4,3,3,3,3,3,4,3,1,22,12,5
4,4,2,4,2,4,4,4,4,3,4,5,3,2,3,4,,3,3,2,3,3,3,3,2,3,4,4,3,3,3,3,3,2,3,2,1,42,25,2
3,3,3,3,4,4,3,4,3,3,4,4,3,4,2,2,3,3,3,3,4,3,3,3,3,1,2,2,2,2,3,3,3,3,3,2,1,22,6,4
3,2,4,2,5,2,2,2,2,2,2,2,,3,3,3,3,2,2,2,4,2,2,4,2,4,4,4,4,4,1,2,1,1,5,2,2,41,5,2
1,1,5,1,5,1,1,1,1,1,1,1,1,5,1,1,1,5,5,5,1,5,5,1,5,3,3,3,3,3,1,1,2,1,5,1,2,47,8,3
4,5,1,4,2,4,3,4,4,3,3,3,3,3,3,2,3,2,1,1,4,1,2,4,1,3,3,3,3,2,3,3,2,3,4,3,1,30,24,3
4,3,2,3,3,3,3,2,2,3,3,2,3,3,2,3,3,4,5,4,1,4,4,1,5,4,4,4,4,4,2,2,2,2,4,1,2,48,1,1
5,3,2,4,2,4,1,1,1,1,1,1,1,5,1,1,1,1,2,2,5,1,1,5,1,4,4,5,4,4,1,1,1,1,5,1,2,28,9,2
2,2,4,2,3,2,3,3,3,3,3,3,3,4,2,3,2,2,3,2,4,3,3,3,3,4,4,4,4,4,3,3,3,4,3,3,1,32,2,1
4,3,2,3,3,4,2,3,3,3,3,3,4,2,4,,,4,5,4,2,5,5,2,4,3,3,3,2,2,4,4,4,4,2,3,1,49,24,1
2,2,4,2,4,2,2,2,2,2,2,2,1,5,2,1,1,4,4,5,2,4,5,1,4,4,4,4,5,4,1,1,1,1,5,,1,37,22,2
3,,2,3,3,3,4,5,5,5,5,5,3,3,4,3,4,2,2,2,4,3,3,5,2,3,4,4,3,3,5,5,4,5,2,5,1,54,2,4
5,5,1,5,1,4,3,4,3,3,4,3,4,3,3,4,4,4,4,4,2,4,4,2,4,4,3,4,3,3,3,2,3,3,3,2,1,25,23,2
2,3,3,2,3,3,2,2,2,2,2,2,1,5,1,1,1,3,4,4,2,,4,2,4,5,4,4,4,4,2,2,,2,4,2,1,55,20,4
3,3,3,3,3,3,2,,2,3,3,3,2,4,1,2,1,2,2,2,4,2,2,3,2,5,5,5,5,5,4,3,2,2,3,2,1,26,18,5
4,4,2,5,1,4,4,4,4,4,4,4,5,1,5,4,5,4,3,4,2,4,4,3,4,4,4,5,4,4,4,5,4,4,2,4,2,30,14,3
3,4,3,3,3,2,2,2,2,2,1,1,3,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,3,2,2,3,3,4,3,,2,48,25,3
2,2,4,2,4,2,4,4,3,3,3,3,2,5,2,2,2,3,2,3,4,2,2,3,3,4,4,4,4,4,1,2,1,2,5,2,1,30,9,1
4,5,2,4,2,4,3,4,4,4,3,4,4,3,3,4,4,3,3,4,2,4,4,2,4,3,4,3,3,3,4,4,4,4,2,4,1,34,1,4
4,4,3,4,2,4,4,4,5,4,4,4,1,5,2,1,2,3,3,2,3,3,3,4,2,2,3,2,2,2,3,3,3,3,3,4,2,48,1,5
5,4,1,,2,4,3,3,2,3,3,3,4,2,4,4,5,2,2,1,4,2,2,4,2,2,4,3,4,3,5,5,5,5,1,4,1,53,6,1
4,4,1,5,1,5,2,2,3,2,2,3,3,3,4,4,4,4,4,3,3,3,4,3,3,2,2,1,1,1,4,3,3,3,3,4,1,34,9,3
3,3,3,4,3,3,4,5,5,4,4,4,4,3,3,4,4,4,4,4,2,5,4,2,4,2,2,2,1,2,4,4,3,4,2,4,2,28,3,1
3,3,3,3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,5,4,5,5,5,2,2,2,2,3,2,2,29,20,1
3,3,3,3,2,4,2,3,,2,3,3,1,5,1,1,1,4,3,3,4,3,3,3,4,3,3,3,3,3,4,4,4,3,2,4,1,29,9,1
5,5,2,5,1,5,2,2,2,2,2,2,1,4,,2,2,2,2,2,4,1,2,5,3,4,3,4,4,4,2,3,3,3,3,3,1,47,21,3
3,2,3,4,3,3,4,4,3,4,4,3,2,4,2,2,2,2,3,3,4,2,2,4,,2,1,2,2,2,,4,3,3,2,3,2,52,5,4
2,3,4,3,3,2,1,1,1,1,1,1,2,4,2,2,1,4,3,3,3,3,4,3,,5,5,5,5,5,3,3,2,2,3,3,1,22,18,1
5,4,1,5,1,5,3,3,3,3,3,2,3,4,2,2,3,4,4,,3,3,4,2,4,4,4,3,4,4,3,3,3,4,3,3,2,31,22,5
1,1,5,1,5,1,2,2,2,2,3,2,2,4,3,3,3,3,4,,2,3,3,3,3,3,4,3,3,3,2,2,2,3,4,3,1,25,3,1
3,3,,4,3,3,4,5,5,4,4,4,3,3,3,3,4,3,3,3,4,2,2,3,3,4,3,,3,3,3,2,3,2,3,3,1,46,14,2
3,3,3,4,1,3,5,4,5,4,4,4,5,2,4,5,4,4,5,5,2,,4,3,4,4,5,5,5,4,4,4,4,3,3,4,1,49,7,3
5,5,1,5,1,4,3,3,4,3,3,3,5,1,5,5,4,3,3,3,3,3,2,3,3,2,3,2,2,2,4,4,5,4,1,4,2,20,9,1
4,4,1,4,1,4,1,2,2,2,3,2,2,4,3,2,3,4,3,4,3,3,3,2,4,3,3,3,3,3,3,2,2,3,3,3,1,31,14,2
3,3,3,4,3,4,4,5,5,5,5,5,4,2,4,4,4,4,4,4,2,5,4,2,4,4,3,4,4,4,4,4,3,4,2,4,1,25,20,3
3,3,2,4,2,4,3,3,4,3,3,4,2,4,2,2,2,2,2,2,4,2,2,4,2,,4,3,3,2,3,3,3,,3,2,2,35,8,3
3,3,4,4,3,3,3,3,3,4,3,3,2,4,2,2,1,3,3,3,3,3,3,3,2,5,4,4,5,4,,3,3,3,3,3,2,22,5,2
5,5,1,4,1,5,4,4,5,,4,4,3,3,2,3,3,2,2,2,4,2,2,4,2,4,4,4,4,4,3,3,3,3,,2,2,47,9,1
4,3,3,3,2,3,3,2,2,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,4,3,3,4,4,3,1,2,1,1,4,2,1,27,13,5
3,2,3,3,4,3,1,2,2,2,2,2,2,5,2,2,2,4,4,3,3,3,4,3,4,2,2,2,2,2,2,2,,2,4,2,1,54,30,5
2,3,3,2,3,3,2,2,3,2,3,2,2,3,2,2,2,5,5,5,1,5,5,1,5,4,3,4,4,3,2,2,1,2,4,1,2,30,20,5
3,2,3,3,4,2,2,,2,2,1,2,1,4,2,1,2,3,3,4,4,3,3,3,3,4,4,5,4,5,2,2,3,2,3,3,2,41,26,4
4,4,2,4,,3,5,5,5,5,5,5,4,2,3,4,4,5,5,4,2,4,5,2,5,4,5,4,5,4,4,4,4,4,2,4,1,33,3,1
2,2,4,2,4,2,1,1,1,1,1,1,3,3,2,,2,4,4,3,2,4,4,2,4,4,4,4,4,4,3,3,3,3,4,3,2,48,22,5
4,5,1,5,1,,4,3,4,4,3,4,4,2,4,3,3,1,1,1,5,1,1,5,1,2,3,3,3,3,3,3,4,4,3,3,1,29,11,2
5,5,1,5,1,5,5,5,5,5,5,5,4,2,4,4,4,3,2,3,3,3,3,3,3,3,2,3,3,,4,4,,4,2,5,1,46,13,5
5,5,1,5,1,4,4,4,4,4,4,4,3,4,3,2,,4,4,4,2,3,4,2,3,,3,4,3,3,,4,4,3,3,3,1,30,28,2
3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,4,2,2,3,3,3,3,4,3,4,2,2,,3,4,2,2,52,10,2
5,4,2,4,3,4,5,4,5,5,5,5,5,2,5,5,5,4,4,5,2,4,4,2,4,2,2,3,3,3,4,4,4,4,2,4,2,34,29,5
3,2,4,2,3,3,5,5,5,4,5,5,1,4,2,1,1,3,3,4,2,4,3,3,3,3,3,2,3,2,2,2,2,2,4,3,1,53,10,2
3,4,3,3,2,4,4,3,3,4,4,4,4,3,3,3,3,1,1,1,5,1,1,5,1,1,1,2,1,2,3,3,3,3,3,3,2,34,12,1
4,4,3,3,2,3,3,3,3,2,2,3,2,4,1,2,2,4,4,3,2,4,3,3,4,4,4,3,4,3,1,1,1,1,5,1,2,48,14,3
4,4,2,4,3,,4,4,5,5,5,5,3,3,4,3,3,4,4,4,2,3,4,3,4,2,2,2,3,2,4,3,4,4,2,4,2,45,6,2
3,2,4,2,4,2,4,2,3,3,3,3,2,4,1,2,2,5,5,5,1,5,5,1,,3,3,2,2,3,2,2,2,2,3,2,1,44,7,5
