au1,au2,au3,au4,im1,im2,im3,im4,im5,ib1,ib2,ib3,ib4,ib5,ib6,tl1,tl2,tl3,tl4,tl5,tl6,ps1,ps2,ps3,ps4,ps5,gender,age,tenure,group_id,team_size
4,3,3,4,3,3,3,4,3,1,2,2,1,2,2,2,2,2,2,2,2,3,5,3,3,3,1,27,15,24,12
1,2,2,3,2,3,,2,2,2,3,3,3,3,,2,3,1,2,3,3,4,5,2,3,3,1,35,10,24,12
,4,4,4,2,3,3,3,2,3,3,3,2,3,2,2,2,2,2,3,2,3,4,3,3,3,2,32,9,24,12
2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,,3,3,3,4,3,3,4,2,35,1,24,12
2,2,2,2,3,4,3,3,3,2,2,2,2,2,2,2,2,,2,3,2,3,3,3,3,3,2,30,8,24,12
4,4,4,4,4,4,2,4,4,2,2,3,2,2,2,2,2,2,3,3,2,3,,3,3,3,2,25,15,24,12
4,4,4,4,2,3,3,3,3,2,2,2,2,1,2,2,2,1,2,3,2,3,4,3,3,3,1,33,6,24,12
4,4,4,4,4,3,2,4,4,2,2,2,2,2,2,3,2,2,2,3,2,3,4,3,3,3,1,39,6,24,12
4,3,3,2,4,3,2,3,3,3,3,3,3,,3,2,2,2,2,3,2,4,4,2,3,3,1,49,14,24,12
3,2,3,3,5,2,3,3,3,3,4,3,3,2,3,1,2,1,2,3,2,3,4,3,3,3,2,28,12,24,12
3,3,,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,4,2,3,4,2,3,3,1,54,5,24,12
4,3,3,3,4,3,3,3,3,2,2,2,2,2,,4,4,4,4,3,4,4,4,4,4,4,1,27,7,25,11
4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,1,47,4,25,11
2,2,3,3,4,4,3,3,4,3,3,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,1,51,3,25,11
3,2,2,2,3,3,4,3,3,2,2,2,3,3,2,4,4,4,4,4,4,4,5,4,4,4,1,49,2,25,11
2,2,2,3,4,4,2,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,27,7,25,11
4,3,4,3,5,4,2,5,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,36,1,25,11
3,4,3,3,5,4,2,4,4,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,2,30,15,25,11
4,4,,4,3,4,2,3,3,3,3,3,2,3,3,4,4,4,4,4,4,4,3,4,4,4,1,41,11,25,11
3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,4,4,4,4,4,4,4,3,4,4,4,2,32,4,25,11
4,4,4,3,3,2,3,2,3,3,2,2,2,3,2,4,4,4,4,4,4,4,3,4,4,4,1,32,1,25,11
3,4,3,4,4,3,3,4,4,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3,4,4,1,27,13,25,11
5,5,5,4,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,4,3,3,4,2,42,1,26,12
3,4,4,3,4,,2,4,4,2,2,2,3,2,2,2,3,3,3,3,3,4,3,4,3,4,2,41,9,26,12
2,3,2,2,4,4,3,4,4,3,3,3,3,3,3,2,3,3,3,3,,3,3,4,3,4,2,43,4,26,12
2,3,3,3,3,4,2,4,4,2,2,2,2,2,2,2,4,3,3,4,3,2,3,3,3,4,1,34,1,26,12
3,2,2,3,5,5,2,4,4,3,2,2,3,2,2,2,3,3,3,3,4,3,3,3,3,3,2,46,2,26,12
3,3,4,4,4,4,3,4,4,2,3,3,3,3,2,2,4,3,3,3,3,2,3,3,2,4,1,36,9,26,12
3,4,3,3,3,3,2,3,2,3,2,2,2,2,2,2,3,4,3,3,3,4,3,3,3,4,1,26,6,26,12
4,4,4,5,5,5,2,5,5,3,2,2,2,3,2,2,3,3,3,3,3,3,2,3,2,5,2,50,1,26,12
4,2,2,2,5,5,1,5,5,3,2,3,3,3,,2,4,3,3,3,3,4,3,2,3,4,1,37,15,26,12
3,3,4,3,3,4,2,4,4,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,4,2,48,13,26,12
3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,3,4,3,3,2,3,3,3,3,4,1,48,2,26,12
3,3,3,3,3,2,3,2,3,2,2,2,3,2,2,2,3,2,3,3,3,2,3,3,4,4,2,29,5,26,12
,,3,3,4,4,2,4,3,3,3,3,3,2,3,3,3,2,4,,4,3,3,3,4,2,2,49,6,27,10
4,4,4,4,3,4,2,3,3,2,2,2,3,2,3,3,4,3,4,3,4,3,3,3,4,3,1,46,10,27,10
2,2,2,2,2,2,4,2,2,2,3,2,3,3,3,3,3,3,4,3,4,3,3,3,4,3,1,36,13,27,10
3,3,2,3,2,2,5,2,2,2,3,3,3,3,3,3,3,3,4,2,4,3,3,4,4,3,1,34,6,27,10
3,3,4,3,5,5,1,4,5,2,2,1,2,2,2,3,3,3,4,3,3,3,3,3,4,3,2,33,6,27,10
3,3,3,3,2,3,4,2,2,2,2,1,2,1,2,2,3,3,4,2,4,3,3,4,4,3,1,34,7,27,10
3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,,4,3,4,3,3,3,4,3,1,47,4,27,10
2,3,3,4,4,4,2,4,4,4,4,4,3,3,3,3,4,3,5,3,4,3,3,3,4,3,1,28,1,27,10
3,4,4,3,5,4,2,4,4,,3,2,2,2,2,3,,3,4,2,4,2,3,3,4,4,1,31,13,27,10
2,2,3,2,3,3,2,4,3,4,3,3,3,4,3,3,3,3,4,4,4,3,3,3,5,3,2,28,3,27,10
4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,5,4,4,3,4,4,4,5,5,5,5,2,26,13,28,10
4,4,3,4,4,5,2,4,4,4,,5,4,5,4,5,4,5,4,4,4,4,5,5,5,5,2,38,6,28,10
2,2,2,2,3,3,,4,3,2,3,3,2,3,3,5,5,4,4,4,4,4,5,5,5,5,2,31,9,28,10
2,2,3,2,4,3,2,4,4,2,2,2,2,3,2,5,4,4,4,4,4,4,5,5,5,5,2,51,8,28,10
4,4,4,4,4,4,2,4,3,4,4,4,4,4,3,5,4,4,3,4,4,4,5,5,5,5,2,38,8,28,10
4,4,4,4,3,4,2,3,3,3,3,3,4,4,4,5,4,5,4,4,5,4,5,5,5,5,1,39,11,28,10
3,3,4,3,3,4,2,4,3,4,4,4,4,4,4,5,5,4,4,4,4,3,5,5,5,5,1,37,15,28,10
4,3,3,3,3,3,2,4,3,3,3,3,2,2,2,5,4,4,4,4,4,4,5,5,5,5,1,46,2,28,10
4,3,3,4,4,4,2,4,4,4,3,4,3,4,4,,5,4,3,4,4,4,5,5,5,5,1,36,3,28,10
3,3,3,3,4,3,2,4,,3,3,3,3,3,4,5,4,4,4,5,4,4,5,5,5,5,2,50,6,28,10
3,3,3,3,,5,1,5,5,3,4,4,3,3,3,5,5,5,5,4,5,4,4,4,4,4,2,48,15,29,8
3,3,4,3,4,4,2,4,4,3,3,3,3,3,3,5,5,5,5,3,5,4,4,4,4,4,2,51,14,29,8
3,3,4,4,4,5,1,5,5,3,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,3,1,29,5,29,8
3,3,4,3,4,4,2,4,4,2,2,3,2,2,2,5,5,5,5,3,5,4,4,4,4,4,1,42,8,29,8
3,3,3,4,5,4,1,5,4,3,3,3,3,3,3,5,5,5,5,4,5,3,4,3,4,4,2,29,10,29,8
4,4,3,3,5,3,2,4,3,2,3,2,3,2,2,5,5,5,5,4,5,4,4,4,4,4,2,33,7,29,8
3,3,3,3,4,4,2,5,4,3,3,3,3,3,3,5,4,5,5,4,5,3,4,4,4,4,1,29,6,29,8
2,2,2,2,3,3,3,2,3,3,2,3,3,3,2,5,5,5,5,4,5,3,3,4,4,4,1,40,2,29,8
3,3,3,4,3,3,3,3,4,2,3,3,2,3,3,3,4,4,3,3,3,4,4,2,3,3,2,45,6,30,15
2,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,4,3,4,3,3,3,3,2,2,3,1,27,5,30,15
2,3,2,2,3,4,3,3,3,3,1,2,3,2,2,3,3,4,3,3,3,2,3,1,2,3,2,50,7,30,15
,2,2,3,4,3,3,4,4,2,3,2,3,2,2,3,3,5,4,3,3,4,,2,2,3,2,34,6,30,15
4,3,3,3,3,3,3,4,3,2,2,2,2,2,2,3,3,,5,3,3,3,3,2,2,3,1,52,10,30,15
5,4,5,4,4,4,2,3,4,2,2,2,3,2,3,3,3,4,4,3,3,4,3,2,2,3,1,41,12,30,15
2,2,3,2,4,4,1,4,4,3,3,3,3,3,3,3,3,4,4,3,2,3,3,2,1,3,1,48,8,30,15
3,3,3,3,3,4,2,4,3,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,2,3,2,51,4,30,15
4,4,4,4,3,3,2,4,4,2,2,3,2,2,2,3,3,5,4,4,3,3,3,2,1,3,1,51,1,30,15
2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,3,4,4,3,3,4,2,2,2,3,2,25,11,30,15
4,4,4,3,4,4,2,4,3,2,2,2,3,3,3,3,3,4,5,3,3,3,4,2,2,3,1,50,6,30,15
2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,3,4,4,3,3,3,3,1,2,3,1,52,13,30,15
2,2,2,2,2,2,3,2,2,2,2,1,2,1,2,3,3,4,4,3,3,3,3,2,2,3,1,54,15,30,15
3,3,3,3,3,4,2,3,3,2,2,2,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,46,9,30,15
4,4,4,4,3,4,3,4,4,3,3,3,3,4,3,3,3,4,4,3,3,2,3,2,2,4,2,53,7,30,15
